Mach,Alpha,CD,CD Power-Off,CD Power-On
3.9,0,0.8922812538,0.8922812538,0.8601500108
3.91,0,0.8915587681,0.8915587681,0.8595199163
3.92,0,0.8908391229,0.8908391229,0.8588926623
3.93,0,0.8901223042,0.8901223042,0.8582682349
3.94,0,0.8894082955,0.8894082955,0.8576466174
3.95,0,0.8886970751,0.8886970751,0.8570277882
3.96,0,0.8879886461,0.8879886461,0.8564117505
3.97,0,0.8872829717,0.8872829717,0.8557984673
3.98,0,0.8865800514,0.8865800514,0.8551879382
3.99,0,0.8858798583,0.8858798583,0.8545801364
4,0,0.8851823943,0.8851823943,0.8539750636
